Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
BT PLC,"£1,994.46", 02/07/2018,Chief Executives,Telephones
BT PLC,£70.00, 02/07/2018,Chief Executives,Telephones
DAISY COMMUNICATIONS LTD,£675.96, 02/07/2018,Chief Executives,Telephones
AIR PLANTS DUST EXTRACION LTD,"£1,725.38", 02/07/2018,Housing Services HRA,Professional Fees
MLL TELECOM LTD,"£245,540.23", 02/07/2018,Chief Executives,Logicalis Network Services
GIESECKE+DEVRIENT CURRENCY TECHNOLOGY GB LTD,"£2,546.64", 02/07/2018,Chief Executives,Equipment Repair
TREEHOUSE TRAINING LTD,"£1,992.00", 02/07/2018,Comm Safety and Environment,Training Expenses
TREEHOUSE TRAINING LTD,£825.00, 02/07/2018,Comm Safety and Environment,Training Expenses
TIGER COMMUNICATIONS PLC,"£1,050.00", 02/07/2018,Chief Executives,Training Expenses
TREEHOUSE TRAINING LTD,£696.00, 02/07/2018,Comm Safety and Environment,Training Expenses
TMI SYSTEMS LIMITED,"£6,600.00", 02/07/2018,Health and Adult Services,Stationery
ENGLISH HERITAGE TRUST,"£31,000.00", 02/07/2018,Comm Safety and Environment,Rents Other
DEPAUL UK,"£89,075.00", 02/07/2018,Housing Services,Services by External Providers
REED SPECIALIST RECRUITMENT LTD,£730.80, 02/07/2018,Chief Executives,Agency Staff
ADVOCACY FOR OLDER PEOPLE,"£3,850.00", 02/07/2018,Health and Adult Services,Printing
POHWER,"£1,080.00", 02/07/2018,Health and Adult Services,Services by External Providers
POHWER,"£4,743.33", 02/07/2018,Health and Adult Services,Services by External Providers
POHWER,"£1,580.00", 02/07/2018,Health and Adult Services,Services by External Providers
CAPITAL HOMECARE (UK) LIMITED,"£1,812.00", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£831.60, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£594.80, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£2,355.60", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,663.20", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,531.92", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£691.74, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,194.08", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,792.96", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,930.88", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£741.00, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£2,174.40", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£798.72, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£2,355.60", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£2,206.80", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£688.37, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,268.66", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,065.48", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£649.58, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£724.80, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,098.54", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,737.54", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£882.56, 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£675.64, 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,"£1,544.48", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£579.18, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£510.23, 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,"£1,158.36", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£965.30, 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,"£1,516.90", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£827.40, 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,"£1,213.52", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£579.18, 02/07/2018,Health and Adult Services,ISF Personal Care
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£1,458.00", 02/07/2018,Childrens Services,Private Home Help Domestic
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,£891.00, 02/07/2018,Childrens Services,Private Home Help Domestic
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£1,053.00", 02/07/2018,Childrens Services,Private Home Help Domestic
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,£648.00, 02/07/2018,Childrens Services,Private Home Help Domestic
REDACTED PERSONAL INFORMATION,"£10,114.32", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£4,046.00", 02/07/2018,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"£11,749.00", 02/07/2018,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"£4,851.00", 02/07/2018,Health and Adult Services,Client Support
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£11,155.54", 02/07/2018,Health and Adult Services,Supported Living
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£13,446.00", 02/07/2018,Health and Adult Services,Supported Living
REGARD PARTNERSHIP LTD,"£3,971.01", 02/07/2018,Health and Adult Services,Supported Living
REDACTED PERSONAL INFORMATION,"£3,557.10", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,201.30", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,240.60", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,411.00", 02/07/2018,Childrens Services,Agency Placements
FOUR SEASONS HEALTH CARE LTD (CHARLTON PARK),"£3,198.62", 02/07/2018,Health and Adult Services,Private Sector Nursing Homes
FOUR SEASONS HEALTH CARE LTD (CHARLTON PARK),"£3,095.44", 02/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£4,125.90", 02/07/2018,Health and Adult Services,Services Private Contractor
NET PEX  LIMITED,£814.32, 02/07/2018,Childrens Services,Agency Placements
NET PEX  LIMITED,"£5,048.78", 02/07/2018,Childrens Services,Agency Placements
CAPITAL HOMECARE (UK) LIMITED,"£1,061.83", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,£579.15, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,£579.15, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,"£1,331.35", 02/07/2018,Health and Adult Services,PS Residential Respite Care
THE OLIVE SERVICES LTD,"£3,857.14", 02/07/2018,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,"£4,198.71", 02/07/2018,Health and Adult Services,Services Private Contractor
CAPITAL HOMECARE (UK) LIMITED,"£2,702.84", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£2,702.84", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,737.54", 02/07/2018,Health and Adult Services,ISF Personal Care
CAPITAL HOMECARE (UK) LIMITED,"£1,737.54", 02/07/2018,Health and Adult Services,ISF Personal Care
STAR CARE UK LTD,"£1,965.88", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,"£3,857.15", 02/07/2018,Childrens Services,Agency Placements
CAPITAL HOMECARE (UK) LIMITED,£772.24, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,"£3,857.04", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£4,406.34", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,875.00", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£21,250.00", 02/07/2018,Childrens Services,Agency Placements
STAR CARE UK LTD,£680.61, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,351.42", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
CAPITAL HOMECARE (UK) LIMITED,"£1,737.54", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"£3,375.01", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"£1,372.69", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,"£12,367.06", 02/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£12,779.30", 02/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£3,502.68", 02/07/2018,Health and Adult Services,Services Private Contractor
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£907.20, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"£1,765.90", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£824.35, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£617.75, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,£748.80, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,"£1,148.02", 02/07/2018,Health and Adult Services,ISF Personal Care
BLUE OCEAN SERVICES LTD,"£2,041.80", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£864.85, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£670.70, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,"£1,235.50", 02/07/2018,Health and Adult Services,ISF Personal Care
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,"£1,189.25", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,"£1,390.50", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£715.50, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£753.74, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£569.80, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,"£1,171.96", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,£967.22, 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,"£1,159.96", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
STAR CARE UK LTD,"£1,263.18", 02/07/2018,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,"£3,085.50", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,188.35", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,750.00", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£4,264.20", 02/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£1,260.00", 02/07/2018,Childrens Services,Other Agency Services
MATRIX CHAMBERS LIMITED,"£3,900.00", 02/07/2018,Chief Executives,Professional Fees
MATRIX CHAMBERS LIMITED,"£2,052.00", 02/07/2018,Chief Executives,Professional Fees
4-5 GRAY`S INN SQUARE,"£2,700.00", 02/07/2018,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,£764.00, 02/07/2018,Childrens Services,LC Staying Put
JONES LANG LA SALLE,"£24,097.53", 02/07/2018,Regeneration Enterprise and Sk,Service Charges
SCCI ALPHATRACK LTD,"£2,116.12", 02/07/2018,Housing Services HRA,Special Collection Service
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£13,509.00", 02/07/2018,Childrens Services,Family Support
CAREWATCH CARE SERVICES LTD,"£48,833.40", 02/07/2018,Health and Adult Services,Professional Fees
CAREWATCH CARE SERVICES LTD,"£48,833.40", 02/07/2018,Health and Adult Services,Professional Fees
CAREWATCH CARE SERVICES LTD,"£41,643.00", 02/07/2018,Health and Adult Services,Professional Fees
DE VERE LIMITED,£620.00, 02/07/2018,Childrens Services,Catering
ENVIRONMENT AGENCY,"£42,493.25", 02/07/2018,Chief Executives,TWA Levy
ENVIRONMENT AGENCY,£981.50, 02/07/2018,Chief Executives,SWA Levy
MASTERDOR LIMITED,"£65,883.36", 03/07/2018,Capital Housing Revenue Acc,Safety
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£17,431.79", 03/07/2018,Capital Housing Revenue Acc,Refurbishment
SCREAM INTERACTIVE LIMITED,"£1,440.00", 03/07/2018,Housing Services HRA,Small Systems Budget
GREENWICH SERVICE PLUS LIMITED,"£2,242.00", 03/07/2018,Comm Safety and Environment,Cleaning Serv In House Trad
UNIQUE OFFICE SOLUTIONS LIMITED,"£1,188.00", 03/07/2018,Housing Services HRA,Small Systems Budget
1SPATIAL GROUP LTD,"£1,032.00", 03/07/2018,Chief Executives,Computer Hardware
BYTES SOFTWARE SERVICES LTD,£846.11, 03/07/2018,Chief Executives,Services Private Contractor
ANGELS ABODE LIMITED,"£55,497.50", 03/07/2018,Housing Services,Rents Other
GREENWICH SERVICE PLUS LIMITED,"£1,364.79", 03/07/2018,Regeneration Enterprise and Sk,FM Services External Contract
TRUSTMARQUE SOLUTIONS LTD,"£18,216.00", 03/07/2018,Chief Executives,Desktop Support Northgate
NORTHGATE PUBLIC SERVICES (UK) LTD,"£1,320.00", 03/07/2018,Housing Services HRA,Small Systems Budget
CITIGUARDS SECURITY LTD,"£1,101.31", 03/07/2018,Health and Adult Services,Security External Contract
CHP MANAGEMENT LTD,"£80,620.00", 03/07/2018,Regeneration Enterprise and Sk,Rents Other
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"£15,932.40", 03/07/2018,Childrens Services,Family Support
SCCI ALPHATRACK LTD,"£2,116.12", 03/07/2018,Housing Services HRA,Special Collection Service
COMMUNICATION & TECHNICAL SERVICES LTD,"£1,240.32", 03/07/2018,Comm Safety and Environment,Materials
COMMUNICATION & TECHNICAL SERVICES LTD,£48.00, 03/07/2018,Comm Safety and Environment,Materials
COMMUNICATION & TECHNICAL SERVICES LTD,£8.40, 03/07/2018,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,"£2,741.76", 03/07/2018,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,"£1,028.16", 03/07/2018,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,£385.56, 03/07/2018,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,"£1,071.00", 03/07/2018,Comm Safety and Environment,Materials
FRESH ACRES NURSERIES LTD,£506.88, 03/07/2018,Comm Safety and Environment,Materials
F R JONES AND SON LIMITED,"£1,070.40", 03/07/2018,Comm Safety and Environment,Equipment
KENT COUNTY COUNCIL (KCS),"£72,889.55", 03/07/2018,Systems Control Accounts,Expenditure Payments
KENT COUNTY COUNCIL (KCS),"£51,546.81", 03/07/2018,Systems Control Accounts,Expenditure Payments
KENT COUNTY COUNCIL (KCS),"£161,611.28", 03/07/2018,Systems Control Accounts,Expenditure Payments
KENT COUNTY COUNCIL (KCS),"£29,549.99", 03/07/2018,Systems Control Accounts,Expenditure Payments
REDACTED PERSONAL INFORMATION,"£2,000.00", 03/07/2018,Housing Services,Rent in Advance
FENSCAPES LTD,"£4,879.06", 03/07/2018,Housing Services HRA,Planned Maintenance
METRO FLOORING LTD,"£1,455.00", 03/07/2018,Modernisation,Ext Consultants Fees
WOLSELEY UK LTD (VARIOUS SUPPLIES),£537.55, 03/07/2018,Housing Services HRA,Materials
HSBC INVOICE FINANCE (UK) LTD,£599.99, 03/07/2018,Health and Adult Services,Equipment
HAGS- SMP LIMITED,"£1,104.00", 03/07/2018,Housing Services HRA,Play Equipment Maintenance
R&A SOFTWARE (SYSTEMS) LTD T/A RA INFORMATION SYST,£564.00, 03/07/2018,Housing Services HRA,Tree Loping
R&A SOFTWARE (SYSTEMS) LTD T/A RA INFORMATION SYST,£36.00, 03/07/2018,Housing Services HRA,Tree Loping
R&A SOFTWARE (SYSTEMS) LTD T/A RA INFORMATION SYST,£24.00, 03/07/2018,Housing Services HRA,Tree Loping
WELL STREET BETTER CARE & HEALTH LTD,"£3,600.00", 03/07/2018,Health and Adult Services,Consultants
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£216.59, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£45.60, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£262.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£102.58, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£37.60, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£216.58, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£45.60, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£262.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£56.99, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£11.39, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£39.89, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£5.69, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£18.22, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£102.59, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£37.60, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£148.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£159.59, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£205.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£22.80, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£102.59, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£37.60, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£216.59, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£45.60, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£262.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£205.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£22.80, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£102.59, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£37.60, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£216.59, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£45.60, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£205.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£22.80, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£262.19, 03/07/2018,Chief Executives,ESS Care Grant Electrical
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£11.35, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£102.58, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£37.61, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£210.89, 03/07/2018,Chief Executives,ESS Care Grant Furniture
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£13.66, 03/07/2018,Chief Executives,ESS Care Grant Furniture
