name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
ROYAL ELTHAM PRE-SCHOOL,636.17, 02/07/2019,Additional support for 3&4yr old withSEN,Childrens Services
HILL-ROM LTD,"3,364.75", 02/07/2019,Other Services,Health and Adult Services
REDACTED PERSONAL INFORMATION,700.00, 01/07/2019,Children Looked After,Childrens Services
REDACTED PERSONAL INFORMATION,510.00, 01/07/2019,Children Looked After,Childrens Services
REDACTED PERSONAL INFORMATION,"3,875.00", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,750.00", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"1,285.71", 01/07/2019,Short Term Residential,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,600.00", 01/07/2019,Services Private Contractor,Health and Adult Services
HOUSING OMBUDSMAN SERVICE,"26,352.50", 01/07/2019,MIsc,Housing Services HRA
REDACTED PERSONAL INFORMATION,"3,920.00", 01/07/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,800.00", 01/07/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,996.00", 01/07/2019,Services Private Contractor,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"2,702.84", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"2,123.66", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,868.77, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,882.56, 01/07/2019,ISF Personal Care,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"2,702.84", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"2,123.66", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,868.77, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,882.56, 01/07/2019,ISF Personal Care,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,541.97, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"1,641.01", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"2,702.84", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
SAMSON CHESA,825.37, 01/07/2019,Rent Bond/ Arrears,Housing Services
JBW GROUP LIMITED,"6,323.70", 01/07/2019,Services Private Contractor,Regeneration Enterprise and Sk
JBW GROUP LIMITED,"-5,269.75", 01/07/2019,Services Private Contractor,Regeneration Enterprise and Sk
CASTLE WATER LIMITED,"14,574.59", 01/07/2019,Water,Housing Services HRA
CASTLE WATER LIMITED,"8,505.43", 01/07/2019,Water,Housing Services HRA
REDACTED PERSONAL INFORMATION,"1,113.84", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,364.40", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,714.61", 01/07/2019,MIsc,Housing Services HRA
REDACTED PERSONAL INFORMATION,"3,364.40", 01/07/2019,Supported Living,Health and Adult Services
BROADBEAN TECHNOLOGY LIMITED,"3,047.22", 01/07/2019,Services Private Contractor,Chief Executives
REDACTED PERSONAL INFORMATION,"4,205.50", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,364.40", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,364.40", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,758.71", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,432.08", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"2,869.72", 01/07/2019,Agency Placements,Childrens Services
UK PROPERTY LET LTD,"22,322.50", 01/07/2019,Rents Other,Housing Services
RELIANCE RESIDENTIAL LIMITED,"26,613.60", 01/07/2019,Rents Other,Housing Services
JOHNSON AUSTIN LIMITED,630.00, 01/07/2019,Safety,Capital Housing Revenue Acc
COMPUTACENTER (UK) LTD,"6,963.74", 01/07/2019,Software Licences,Chief Executives
NORTHGATE PUBLIC SERVICES (UK) LTD,"6,148.03", 01/07/2019,Services Private Contractor,Chief Executives
REDACTED PERSONAL INFORMATION,"4,782.85", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,188.57", 01/07/2019,Agency Placements,Childrens Services
HOUSE TO HOME LETTINGS LTD,"64,729.00", 02/07/2019,Rents Other,Housing Services
BLUE OCEAN SERVICES LTD,"1,052.97", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CAPITAL HOMECARE (UK) LIMITED,"1,431.12", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
LONDON PROPERTY ONLINE LTD,"20,625.00", 01/07/2019,Rents Other,Housing Services
LONDON PROPERTY ONLINE LTD,"23,078.50", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"6,510.00", 01/07/2019,Agency Placements,Childrens Services
CAPITAL HOMECARE (UK) LIMITED,"1,431.12", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,845.72", 01/07/2019,Agency Placements,Childrens Services
MRS FATIMA MENGAL,"1,023.00", 01/07/2019,Rents Other,Housing Services
CAPITAL HOMECARE (UK) LIMITED,572.04, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,048.57", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"5,845.72", 01/07/2019,Agency Placements,Childrens Services
CRAEGMOOR OAKS SIDCUP PRIORY,"4,465.03", 01/07/2019,Client Support,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Agency Placements,Childrens Services
SNAP SURVEYS LTD,978.00, 01/07/2019,Miscellaneous,Housing Services HRA
CLEARWATER CARE (HACKNEY) LTD,"5,820.44", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,508.39", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,188.57", 01/07/2019,Agency Placements,Childrens Services
DE LAGE LANDEN LEASING LTD,597.58, 01/07/2019,Photocopying,Chief Executives
REDACTED PERSONAL INFORMATION,"5,845.72", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"17,807.14", 01/07/2019,Agency Placements,Childrens Services
MAHN ESTATES LTD,560.00, 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Children Looked After,Childrens Services
REDACTED PERSONAL INFORMATION,"5,200.00", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,845.72", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"4,839.92", 01/07/2019,Supported Living,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"1,489.66", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,765.03", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Agency Placements,Childrens Services
OASIS CARE & TRAINING AGENCY,"1,976.80", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"2,767.52", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,845.72", 01/07/2019,Agency Placements,Childrens Services
OASIS CARE & TRAINING AGENCY,988.40, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,388.18", 01/07/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,388.18", 01/07/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"2,790.00", 01/07/2019,Agency Placements,Childrens Services
OASIS CARE & TRAINING AGENCY,"2,452.80", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,048.57", 01/07/2019,Agency Placements,Childrens Services
OASIS CARE & TRAINING AGENCY,889.56, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
LAWSON VILLAS LTD,"3,920.00", 01/07/2019,Rents Other,Housing Services
OASIS CARE & TRAINING AGENCY,"1,087.24", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,048.57", 01/07/2019,Agency Placements,Childrens Services
FRESHVIEW ESTATES LTD,"1,472.50", 01/07/2019,Rents Other,Housing Services
OASIS CARE & TRAINING AGENCY,"2,174.48", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,048.57", 01/07/2019,Agency Placements,Childrens Services
OASIS CARE & TRAINING AGENCY,"1,976.80", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
FRESHVIEW ESTATES LTD,"1,023.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"5,092.00", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,"6,381.90", 01/07/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,316.47", 01/07/2019,Services Private Contractor,Health and Adult Services
FRESHVIEW ESTATES LTD,"1,550.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"1,488.00", 01/07/2019,Rents Other,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,720.59", 01/07/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,875.00", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"4,406.34", 01/07/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"2,093.00", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,309.44", 01/07/2019,Supported Living,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"2,240.00", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"1,296.00", 01/07/2019,In Home Domicilary and Agency Care,Childrens Services
OASIS CARE & TRAINING AGENCY,"1,087.24", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,"1,701.00", 01/07/2019,In Home Domicilary and Agency Care,Childrens Services
OASIS CARE & TRAINING AGENCY,889.56, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,945.00, 01/07/2019,Secure Accommodation,Childrens Services
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,702.00, 01/07/2019,In Home Domicilary and Agency Care,Childrens Services
OASIS CARE & TRAINING AGENCY,"2,569.84", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
FRESHVIEW ESTATES LTD,"1,023.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"1,458.00", 01/07/2019,Vehicle Hire,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,824.00", 01/07/2019,Client Support,Health and Adult Services
FRESHVIEW ESTATES LTD,"1,240.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"2,121.00", 01/07/2019,Client Support,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,656.00", 01/07/2019,Supported Living,Health and Adult Services
FRESHVIEW ESTATES LTD,"1,472.50", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"3,877.44", 01/07/2019,Supported Living,Health and Adult Services
EDEN ESTATES,"1,860.00", 01/07/2019,Rents Other,Housing Services
OASIS CARE & TRAINING AGENCY,"1,383.76", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,090.08", 01/07/2019,Supported Living,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"1,284.92", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
OASIS CARE & TRAINING AGENCY,635.40, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
CROWN HOUSING LTD,"11,587.80", 01/07/2019,Rents Other,Housing Services
ANGELS ABODE LIMITED,"1,860.00", 01/07/2019,Rents Other,Health and Adult Services
OASIS CARE & TRAINING AGENCY,988.40, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
OASIS CARE & TRAINING AGENCY,593.04, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
ANGELS ABODE LIMITED,"1,890.00", 01/07/2019,Rents Other,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"1,976.80", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
OASIS CARE & TRAINING AGENCY,974.28, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
OASIS CARE & TRAINING AGENCY,593.04, 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"3,167.36", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
MASON ESTATES LTD,"2,065.00", 01/07/2019,Rents Other,Housing Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
OASIS CARE & TRAINING AGENCY,"2,315.68", 01/07/2019,Private Home Help Domest Misc,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
ACE FAST LETS LTD,"1,472.50", 01/07/2019,Rents Other,Housing Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"4,600.00", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
ACE FAST LETS LTD,"1,750.00", 01/07/2019,Rents Other,Housing Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
ACE FAST LETS LTD,"1,472.50", 01/07/2019,Rents Other,Housing Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,647.36", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"4,367.36", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"4,767.36", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
ACE FAST LETS LTD,"1,085.00", 01/07/2019,Rents Other,Housing Services
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,256.44", 01/07/2019,Private Sector Nursing Homes,Health and Adult Services
ACE FAST LETS LTD,"1,085.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,731.50, 01/07/2019,Voluntary Bodies Other Care,Health and Adult Services
ACE FAST LETS LTD,"1,395.00", 01/07/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,616.00, 01/07/2019,Voluntary Bodies Other Care,Health and Adult Services
REDACTED PERSONAL INFORMATION,616.00, 01/07/2019,Voluntary Bodies Other Care,Health and Adult Services
ZETA HOMES,935.00, 01/07/2019,Rents Other,Housing Services
HITACHI CAPITAL INVOICE FINANCE LTD,"9,445.00", 01/07/2019,Rents Other,Housing Services
ZETA HOMES,960.00, 01/07/2019,Rents Other,Housing Services
BIZYLET LTD,"10,122.00", 01/07/2019,Rents Other,Housing Services
WILLOW ESTATE AGENTS (LONDON) LTD,900.00, 01/07/2019,Rents Other,Housing Services
WILLOW ESTATE AGENTS (LONDON) LTD,"1,302.00", 01/07/2019,Rents Other,Housing Services
WILLOW ESTATE AGENTS (LONDON) LTD,"1,860.00", 01/07/2019,Rents Other,Housing Services
OASIS CARE & TRAINING AGENCY,649.52, 02/07/2019,Private Home Help Domest Misc,Health and Adult Services
HILL-ROM LTD,"6,830.71", 02/07/2019,Other Services,Health and Adult Services
FRANCIS GYEKYE-MENSAH,"2,154.00", 01/07/2019,Deposits,Housing Services
MICHAEL HUNTE,"1,875.00", 01/07/2019,Deposits,Housing Services
T. OLOWU,"2,145.00", 01/07/2019,Deposits,Housing Services
T. OLOWU,"2,145.00", 01/07/2019,Deposits,Housing Services
LAURENCE SMALL,"2,220.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,490.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,550.00", 01/07/2019,Deposits,Housing Services
SOUTHEAST SERVICES,"1,300.00", 01/07/2019,Deposits,Housing Services
MR STEPHEN ADEDIRAN & MRS OLUFUNMIKE ADEDIRAN,"2,040.00", 01/07/2019,Deposits,Housing Services
CAMBRIDGE MOTORS,"2,640.00", 01/07/2019,Deposits,Housing Services
VALERIE MARJORIE BROWN,"2,400.00", 01/07/2019,Deposits,Housing Services
CAMBRIDGE MOTORS,"2,640.00", 01/07/2019,Deposits,Housing Services
ANTHONY SALVATORE BELLINI,"2,700.00", 01/07/2019,Deposits,Housing Services
MR A TEMILADE,"3,000.00", 01/07/2019,Deposits,Housing Services
MR & MRS NWOFOR,"3,150.00", 01/07/2019,Deposits,Housing Services
L KOLAWOLE OLANIYAN,"3,000.00", 01/07/2019,Deposits,Housing Services
OLUWATOYIN ODEPE,"3,000.00", 01/07/2019,Deposits,Housing Services
MR ADEYEMI OBAFEMI OYEGBOLA,"3,000.00", 01/07/2019,Deposits,Housing Services
MRS F D DAVIES,"2,700.00", 01/07/2019,Deposits,Housing Services
BARNES GOLD LIMITED,"4,065.99", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,574.00", 01/07/2019,Deposits,Housing Services
DAVID TOWNSLEY & SUSAN TOWNSLEY,"3,000.00", 01/07/2019,Deposits,Housing Services
DENISE HATT,"1,920.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,730.00", 01/07/2019,Deposits,Housing Services
C GELKOPF,"2,025.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"1,860.00", 01/07/2019,Deposits,Housing Services
MICHAEL MCLOUGHLIN,"1,860.00", 01/07/2019,Deposits,Housing Services
CHRIS & CAROLINE PATAKY,"2,652.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,529.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,400.00", 01/07/2019,Deposits,Housing Services
DR KAMALASEN RAJALINGHAM,"2,490.00", 01/07/2019,Deposits,Housing Services
PENDO ISANZU RE: BENEDICT ISANZU,"2,520.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"3,000.00", 01/07/2019,Deposits,Housing Services
NITIN KARA,"2,580.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,640.00", 01/07/2019,Deposits,Housing Services
ERIC OKOTH,"2,091.00", 01/07/2019,Deposits,Housing Services
EMMANUEL AKINSOLA,"2,850.00", 01/07/2019,Deposits,Housing Services
TUFAN DUZELTICI,"2,652.00", 01/07/2019,Deposits,Housing Services
NITIN KARA,"2,580.00", 01/07/2019,Deposits,Housing Services
ALAN & VALERIE ROBERTSON,"2,775.00", 01/07/2019,Deposits,Housing Services
STEPHEN AUSTIN,"2,640.00", 01/07/2019,Deposits,Housing Services
ROBINDER JHAS,"2,700.00", 01/07/2019,Deposits,Housing Services
TRACY PART,"2,490.00", 01/07/2019,Deposits,Housing Services
FOLASAYO OJO & MICHAEL OJO,"2,681.00", 01/07/2019,Deposits,Housing Services
MR A TEMILADE,"3,750.00", 01/07/2019,Deposits,Housing Services
SONJA CURZAI,"2,490.00", 01/07/2019,Deposits,Housing Services
HUMAYUN KHAN & SHIRIN KHAN,"2,490.00", 01/07/2019,Deposits,Housing Services
DAVID FREEMAN,"1,037.00", 01/07/2019,Deposits,Housing Services
ROBERT REINHART,"2,490.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"3,300.00", 01/07/2019,Deposits,Housing Services
ZHIQI SHENG & AIHUA WEI,"3,000.00", 01/07/2019,Deposits,Housing Services
ALFRED ONEN,"2,490.00", 01/07/2019,Deposits,Housing Services
MONISOLA OLAINIPEKUN,"3,150.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,640.00", 01/07/2019,Deposits,Housing Services
BEATRICE ADEGBOLA,"2,475.00", 01/07/2019,Deposits,Housing Services
COMFORT OWUSU-ANKOMAH,"2,850.00", 01/07/2019,Deposits,Housing Services
AMIR KHAN,"3,300.00", 01/07/2019,Deposits,Housing Services
JOANNA LOCKING,"2,490.00", 01/07/2019,Deposits,Housing Services
TARIQ & RUKHSANA JAVED,"3,600.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,775.00", 01/07/2019,Deposits,Housing Services
JOSHUA DADA,"3,150.00", 01/07/2019,Deposits,Housing Services
ETINOSA AGBONTOHOMA,"2,550.00", 01/07/2019,Deposits,Housing Services
BHAVEN PATHAK & PUJA PATHAK,"3,600.00", 01/07/2019,Deposits,Housing Services
FOLUSO & OLUSOLA ISHOLA,"2,775.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,550.00", 01/07/2019,Deposits,Housing Services
JEAN MCKENZIE-HALES,"2,490.00", 01/07/2019,Deposits,Housing Services
JAVED HUSAIN,"3,900.00", 01/07/2019,Deposits,Housing Services
TARIQ & RUKHSANA JAVED,"2,574.00", 01/07/2019,Deposits,Housing Services
MARY GREEN,"3,150.00", 01/07/2019,Deposits,Housing Services
DAVID FREEMAN,"2,850.00", 01/07/2019,Deposits,Housing Services
AYOOB & FIROZABEE ABDOOL,"3,900.00", 01/07/2019,Deposits,Housing Services
TARIQ & RUKHSANA JAVED,"2,574.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"4,050.00", 01/07/2019,Deposits,Housing Services
BABALOLA AKINGBOJU,"2,520.00", 01/07/2019,Deposits,Housing Services
ZIQIAN LIU,"2,884.00", 01/07/2019,Deposits,Housing Services
REDACTED PERSONAL INFORMATION,"2,574.00", 01/07/2019,Deposits,Housing Services
JAMES FARRAR,"3,240.00", 01/07/2019,Deposits,Housing Services
DAVID O`DONNELL,"3,450.00", 01/07/2019,Deposits,Housing Services
HAI SANG PHAM,"2,610.00", 01/07/2019,Deposits,Housing Services
FATHIMA SAFNA & MUHAMED RIZVI SHARAFDIN,"2,652.00", 01/07/2019,Deposits,Housing Services
REBECCA OLULAYO OLALEKAN,"2,652.00", 01/07/2019,Deposits,Housing Services
DENISE HATT,"2,580.00", 01/07/2019,Deposits,Housing Services
AKINTUNDE & MERCY AKENI,"4,200.00", 01/07/2019,Deposits,Housing Services
MEERA PRIYA SHAUNAK,"3,240.00", 01/07/2019,Deposits,Housing Services
JASON NURDEN,"2,490.00", 01/07/2019,Deposits,Housing Services
