name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
J B RINEY & CO LTD,"14,974.00", 08/04/2019,Expenditure Payments,Regeneration Enterprise Skills
J B RINEY & CO LTD,"810,493.06", 08/04/2019,Expenditure Payments,Regeneration Enterprise Skills
ERITH CONTRACTORS LTD,"1,440.00", 05/04/2019,Refurbishment,NS General Fund
RUSSELL TREW LTD,"1,444.44", 05/04/2019,Roofs,Capital Housing Revenue Acc
BT PLC,284.17, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,78.49, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,102.38, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,229.58, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,122.06, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,45.46, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,45.47, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,445.16, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,217.30, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,62.39, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,62.12, 05/04/2019,Telephones,Childrens Services
BT PLC,203.40, 05/04/2019,Telephones,Childrens Services
BT PLC,"1,022.47", 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,136.40, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,45.47, 05/04/2019,Telephones,Regeneration Enterprise and Sk
BT PLC,45.47, 05/04/2019,Telephones,Regeneration Enterprise and Sk
PRECISION LIFT SERVICES LTD,"97,171.04", 08/04/2019,Lift Maintenance,Housing Services HRA
STANNAH LIFT SERVICES LTD,"10,073.39", 05/04/2019,Other Services,Housing Services
GLOUCESTER CIRCUS GARDEN COMMITTEE,"13,051.76", 01/04/2019,Gloucester Circus Levy,Chief Executives
HSL COMPLIANCE LTD,"63,283.14", 08/04/2019,Water Inspections,Housing Services HRA
NOWMEDICAL,926.40, 05/04/2019,Professional Fees,Housing Services HRA
CHUBB FIRE LIMITED,505.65, 03/04/2019,Equipment,Chief Executives
ENGIE REGENERATION LTD,"415,215.08", 08/04/2019,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"189,766.36", 08/04/2019,Refurbishment,Capital Housing Revenue Acc
BT PLC,513.84, 05/04/2019,Telephones,Chief Executives
BETA DISTRIBUTION (SOUTH),"10,647.00", 05/04/2019,Printing External Contract,Chief Executives
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,832.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
HSL COMPLIANCE LTD,"19,605.49", 05/04/2019,Water,Capital Housing Revenue Acc
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,871.76, 03/04/2019,Client Support,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,572.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
GREENWICH MENCAP - THE RIVERWOOD PROJECT,624.00, 03/04/2019,Voluntary Bodies Other Care,Health and Adult Services
MY LIFE SEMI-INDEPENDENT PROJECT LTD,"4,531.20", 03/04/2019,Agency Placements,Childrens Services
HITACHI CAPITAL INVOICE FINANCE LTD,"3,600.00", 03/04/2019,Supported Living,Health and Adult Services
MY LIFE SEMI-INDEPENDENT PROJECT LTD,"4,531.20", 03/04/2019,Agency Placements,Childrens Services
AMBER CAR SERVICES LTD,"1,238.58", 03/04/2019,Transport For Children,Childrens Services
HITACHI CAPITAL INVOICE FINANCE LTD,"3,212.00", 03/04/2019,Client Support,Health and Adult Services
HITACHI CAPITAL INVOICE FINANCE LTD,"3,212.00", 03/04/2019,Client Support,Health and Adult Services
HITACHI CAPITAL INVOICE FINANCE LTD,"2,600.00", 03/04/2019,Supported Living,Health and Adult Services
HITACHI CAPITAL INVOICE FINANCE LTD,"3,400.00", 03/04/2019,Supported Living,Health and Adult Services
HITACHI CAPITAL INVOICE FINANCE LTD,"4,000.00", 03/04/2019,Supported Living,Health and Adult Services
HITACHI CAPITAL INVOICE FINANCE LTD,"4,785.00", 03/04/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,500.00, 03/04/2019,In Home Domicilary and Agency Care,Childrens Services
REDACTED PERSONAL INFORMATION,"3,428.57", 03/04/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,542.86", 03/04/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,428.57", 03/04/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,542.86", 03/04/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,399.04", 03/04/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,399.04", 03/04/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,356.25", 03/04/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"7,001.57", 03/04/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,522.74", 03/04/2019,Agency Placements,Childrens Services
SCCI ALPHATRACK LTD,"2,224.12", 05/04/2019,Special Collection Service,Housing Services HRA
OYSTA TECHNOLOGY LIMITED,747.84, 05/04/2019,Equipment,Health and Adult Services
FARMWOOD MECHANICAL & ELECTRICAL SERVICES LTD,617.59, 05/04/2019,Environmental,Housing Services HRA
THE RAPID RESULTS COLLEGE LIMITED,"9,474.00", 05/04/2019,Corp Training Train Dev Fund,Housing Services HRA
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,624.00, 05/04/2019,Other Services,Chief Executives
THE METRO CENTRE,"4,375.00", 03/04/2019,Other Agency Services,Childrens Services
THE METRO CENTRE,"4,375.00", 05/04/2019,Other Agency Services,Childrens Services
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,720.00, 05/04/2019,Other Services,Chief Executives
CAPITA  BUSINESS SERVICES LTD,"127,176.10", 08/04/2019,IT Licenses,Childrens Services
ST MARYS (ELTHAM) COMMUNITY COMPLEX ASSOCIATION,504.00, 05/04/2019,Other Services,Chief Executives
ACCLIMATISE LTD,"1,682.10", 03/04/2019,MIsc,Regeneration Enterprise and Sk
AMALGAMATED LIFTS LTD,602.40, 05/04/2019,Rm Buildings Gmrs Ext Contract,Regeneration Enterprise and Sk
ARBTECH CONSULTING LTD,"1,198.80", 05/04/2019,R & M Buildings Other,Comm Safety and Environment
CURL LA TOURELLE + HEAD LIMITED,"12,672.00", 05/04/2019,Ext Architects Fees,Modernisation
CITY OF LONDON CORPORATION,"1,440.00", 05/04/2019,Conference Expenses,Chief Executives
SHARPE PRITCHARD LLP,"1,442.40", 05/04/2019,Ext Legal Fees,Other General Fund
THE FOSTERING NETWORK,"1,735.44", 05/04/2019,Materials Staff Training,Childrens Services
THE FOSTERING NETWORK,460.00, 05/04/2019,Materials Staff Training,Childrens Services
THE FOSTERING NETWORK,372.00, 05/04/2019,Materials Staff Training,Childrens Services
SHARPE PRITCHARD LLP,"5,352.00", 03/04/2019,Other Costs,Priority Investment Programme
RUNDLES & CO LTD,"21,507.36", 05/04/2019,Student Award Payment,Chief Executives
RUNDLES & CO LTD,"-17,922.81", 05/04/2019,Student Award Payment,Chief Executives
SHARPE PRITCHARD LLP,"1,646.40", 05/04/2019,Ext Legal Fees,Priority Investment Programme
CERTSURE LLP,558.00, 05/04/2019,Professional Fees,Housing Services HRA
THE METRO CENTRE,"4,375.00", 05/04/2019,Other Agency Services,Childrens Services
WHYTE & CO,"6,947.24", 05/04/2019,Student Award Payment,Chief Executives
WHYTE & CO,"-5,789.37", 05/04/2019,Student Award Payment,Chief Executives
FARMWOOD MECHANICAL & ELECTRICAL SERVICES LTD,617.59, 05/04/2019,Environmental,Housing Services HRA
ACCLIMATISE LTD,747.60, 05/04/2019,MIsc,Regeneration Enterprise and Sk
SHARPE PRITCHARD LLP,632.40, 05/04/2019,Other Costs,Priority Investment Programme
THAMES REACH HOUSING ASSOCIATION LTD,"29,929.00", 05/04/2019,Services by External Providers,Housing Services
FARMWOOD MECHANICAL & ELECTRICAL SERVICES LTD,617.59, 05/04/2019,Environmental,Housing Services HRA
STEER DAVIS GLEAVE,"1,012.06", 05/04/2019,Consultants,Regeneration Enterprise and Sk
AF STARR BUILDING CONTRACTORS,"3,145.20", 05/04/2019,Rm Buildings Gmrs Ext Contract,Comm Safety and Environment
LINCOLN ANALYTICAL SERVICES LTD,672.00, 05/04/2019,Environment Monitoring,Comm Safety and Environment
POHWER,"1,350.00", 05/04/2019,Services by External Providers,Health and Adult Services
SCV SOCIAL CARE LIMITED,"3,250.00", 05/04/2019,Agency Staff,Health and Adult Services
HENNESSEY LTD,"12,000.00", 05/04/2019,Uninsured Fire Damage,Housing Services HRA
HENNESSEY LTD,"1,200.00", 05/04/2019,Uninsured Fire Damage,Housing Services HRA
BUDDI LIMITED,358.80, 05/04/2019,Equipment,Health and Adult Services
BUDDI LIMITED,360.00, 05/04/2019,Equipment,Health and Adult Services
BUDDI LIMITED,12.00, 05/04/2019,Equipment,Health and Adult Services
GREENWICH LEISURE LIMITED,"341,980.70", 08/04/2019,C&F Commissioning Contract,Childrens Services
CASTLE WATER LIMITED,639.25, 05/04/2019,Water,Housing Services HRA
NCS TECHNOLOGY LIMITED,"6,509.64", 05/04/2019,Rm Buildings Gmrs Ext Contract,Eltham Crematorium Revenue
M & S TRAFFIC LIMITED,"1,440.00", 05/04/2019,Ext Consultants Fees,Transportation Schemes
SUPRA UK LTD T/AS THE KEYSAFE COMPANY,"4,800.00", 05/04/2019,Equipment GM Project,Housing Services HRA
FAITHORN FARRELL TIMMS,"1,500.00", 05/04/2019,Communal Plant Maintenance,Housing Services HRA
CARE OUTLOOK LTD,"2,332.96", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,807.61", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,649.96, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,049.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,949.84, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,508.26, 03/04/2019,Greenwich Home Support,Health and Adult Services
HSBC INVOICE FINANCE (UK) LTD,522.00, 05/04/2019,Publicitiy,Regeneration Enterprise and Sk
CARE OUTLOOK LTD,903.93, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,828.90, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,633.52", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"3,034.36", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,049.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,049.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,817.04, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,533.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,803.92, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,699.72, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,700.00, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,778.68", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,067.24", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,166.76", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,066.51", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,033.56", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,049.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,233.16", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,932.96, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,649.92, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,166.48", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,633.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,804.26, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,167.32", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,800.00", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,095.57", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,399.68", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,695.56, 03/04/2019,Greenwich Home Support,Health and Adult Services
FIRST ABOUT PLUMBING & CARPENTRY LTD,"1,026.00", 05/04/2019,Roofs,Planned Maintenance
CARE OUTLOOK LTD,"1,516.76", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,567.32", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,716.71, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,520.72, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,950.32, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,516.60, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,558.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,574.91, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,383.61", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,787.42, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,533.22", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"3,049.84", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,803.98, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,932.96, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,708.19, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,086.95", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,534.20", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,700.56, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,749.78, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,900.44, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,700.00, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,691.39, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,795.66, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,095.33", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,704.03, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,999.67", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,924.63, 03/04/2019,Greenwich Home Support,Health and Adult Services
FIRST ABOUT PLUMBING & CARPENTRY LTD,"2,270.40", 05/04/2019,Roofs,Planned Maintenance
CARE OUTLOOK LTD,600.12, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,574.77, 03/04/2019,Greenwich Home Support,Health and Adult Services
HSBC INVOICE FINANCE (UK) LTD,540.00, 05/04/2019,Publicitiy,Regeneration Enterprise and Sk
CARE OUTLOOK LTD,999.92, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,699.72, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,941.33, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,700.00, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,708.32, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,066.12", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,032.80", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,833.36, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,012.23", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,783.20, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,649.64", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,574.98, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,833.16, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,758.13, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,133.16", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,166.48", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,849.82", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,682.66", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,649.92, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,099.44", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"4,145.77", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,099.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
FIRST ABOUT PLUMBING & CARPENTRY LTD,652.80, 05/04/2019,Rm Buildings Gmrs Ext Contract,Regeneration Enterprise and Sk
CARE OUTLOOK LTD,500.40, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,412.53", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,216.60", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,699.72, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,495.84", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,833.27, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,932.96, 03/04/2019,Greenwich Home Support,Health and Adult Services
HSBC INVOICE FINANCE (UK) LTD,558.00, 05/04/2019,Publicitiy,Regeneration Enterprise and Sk
CARE OUTLOOK LTD,966.42, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,183.72", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,816.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,766.40, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,041.39", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,033.06", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,883.16, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,899.76, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.37, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,916.52, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,787.50", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,954.10, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,679.01, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,533.26, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,616.79, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,920.66", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,849.45", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,524.83, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,108.06", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,037.22", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,891.60, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,988.07, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,962.39, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,599.84, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,849.26", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,803.98, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,987.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,700.28, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,541.58, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"1,641.30", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,766.48, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,933.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,583.24, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,"2,608.16", 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,733.04, 03/04/2019,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,687.50, 03/04/2019,Greenwich Home Support,Health and Adult Services
