Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
DRAINLINE SOUTHERN LIMITED,"£10,878.00", 11/10/2018,Safety,Capital Housing Revenue Acc
FRANKHAM CONSULTANCY GROUP LTD,"£2,640.00", 09/10/2018,Ext Consultants Fees,Capital Housing Revenue Acc
RP SUPPLIES LIMITED T/A RAYMAC GROUP,"£4,052.40", 09/10/2018,General Payments,Capital Housing Revenue Acc
RP SUPPLIES LIMITED T/A RAYMAC GROUP,"£4,052.40", 10/10/2018,General Payments,Capital Housing Revenue Acc
RIDGE,"£12,000.00", 11/10/2018,General Payments,Capital Housing Revenue Acc
DRAINLINE SOUTHERN LIMITED,£630.00, 12/10/2018,Safety,Capital Housing Revenue Acc
STREETSPACE LIMITED,"£18,453.60", 12/10/2018,Safety,Capital Housing Revenue Acc
STREETSPACE LIMITED,"£23,409.60", 12/10/2018,Safety,Capital Housing Revenue Acc
A VINCENT SOLICITORS,"£334,069.37", 10/10/2018,Buy Backs,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£2,829.60", 15/10/2018,General Payments,Capital Housing Revenue Acc
MARTIN ARNOLD LTD,"£1,080.00", 15/10/2018,Ext Consultants Fees,Capital Housing Revenue Acc
MAYPLACE CARPETS LTD,"£1,815.00", 15/10/2018,General Payments,Capital Housing Revenue Acc
DRAINLINE SOUTHERN LIMITED,"£2,076.00", 17/10/2018,Safety,Capital Housing Revenue Acc
POLLOCK LIFTS,"£9,414.00", 19/10/2018,General Payments,Capital Housing Revenue Acc
STANDAGE & CO LTD,"£20,015.48", 16/10/2018,Windows,Capital Housing Revenue Acc
HOW SCAFFOLDING,"£7,140.00", 22/10/2018,Safety,Capital Housing Revenue Acc
GREENWOOD MOBILITY AND MAINTENANCE SERVICES LTD,"£10,362.00", 26/10/2018,General Payments,Capital Housing Revenue Acc
A & T FLOORING LIMITED,"£4,050.00", 23/10/2018,Safety,Capital Housing Revenue Acc
DRAINLINE SOUTHERN LIMITED,£630.00, 24/10/2018,Safety,Capital Housing Revenue Acc
WATERMAN BUILDING SERVICES LIMITED,"£5,340.00", 24/10/2018,Ext Consultants Fees,Capital Housing Revenue Acc
DARTFORD METALCRAFTS,"£1,476.00", 24/10/2018,Safety,Capital Housing Revenue Acc
POLLOCK LIFTS,"£10,420.00", 25/10/2018,General Payments,Capital Housing Revenue Acc
WESSEX LIFT CO LTD,"£1,125.00", 25/10/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£158,599.44", 22/10/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£4,628.16", 22/10/2018,General Payments,Capital Housing Revenue Acc
POLLOCK LIFTS,"£10,846.80", 25/10/2018,General Payments,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£139,716.50", 22/10/2018,Newbuild,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£50,561.85", 22/10/2018,Newbuild,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£63,040.10", 22/10/2018,Newbuild,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£61,654.05", 22/10/2018,Newbuild,Capital Housing Revenue Acc
C.L.C. CONTRACTORS LIMITED,"£49,438.07", 29/10/2018,Adaptations,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£69,998.28", 29/10/2018,Adaptations,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£31,509.84", 29/10/2018,Adaptations,Capital Housing Revenue Acc
MARTIN ARNOLD LTD,"£2,244.00", 29/10/2018,Safety,Capital Housing Revenue Acc
RIDGE,"£12,000.00", 29/10/2018,General Payments,Capital Housing Revenue Acc
COMPLETE UTILITY SOLUTIONS LIMITED,£720.00, 02/11/2018,Ext Site Surveys,Capital Housing Revenue Acc
PERSONA ASSOCIATES LIMITED,"£1,160.40", 02/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
A & E ELKINS LIMITED,£900.00, 29/10/2018,Ext Site Surveys,Capital Housing Revenue Acc
HUDGELL & PARTNERS SOLICITORS,"£248,080.00", 26/10/2018,Buy Backs,Capital Housing Revenue Acc
BLAKENEY LEIGH LIMITED,"£1,020.00", 30/10/2018,Ext Site Surveys,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£1,318.30", 31/10/2018,Refurbishment,Capital Housing Revenue Acc
NIBLOCK ( BUILDERS ) LTD,"£98,329.75", 31/10/2018,Refurbishment,Capital Housing Revenue Acc
ARK BUILD PLC,"£52,277.55", 31/10/2018,Newbuild,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£3,084.00", 31/10/2018,Safety,Capital Housing Revenue Acc
MASTERDOR LIMITED,"£1,070.72", 31/10/2018,Safety,Capital Housing Revenue Acc
TROWERS & HAMLINS LLP,"£7,740.34", 01/11/2018,Int Legal Fees,Capital Housing Revenue Acc
TROWERS & HAMLINS LLP,£46.00, 01/11/2018,Int Legal Fees,Capital Housing Revenue Acc
M G AXTON,"£10,154.83", 01/11/2018,Refurbishment,Capital Housing Revenue Acc
M G AXTON,"£27,593.90", 01/11/2018,Refurbishment,Capital Housing Revenue Acc
M G AXTON,"£9,131.06", 01/11/2018,Refurbishment,Capital Housing Revenue Acc
SAVILLS ( UK ) LIMITED,"£1,800.00", 01/11/2018,Ext Legal Fees,Capital Housing Revenue Acc
BURGES SALMON LLP,"£2,280.00", 01/11/2018,Ext Legal Fees,Capital Housing Revenue Acc
MASTERDOR LIMITED,"£1,073.20", 01/11/2018,Safety,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£5,720.40", 02/11/2018,General Payments,Capital Housing Revenue Acc
UK GAS CONNECTION LIMITED,£664.38, 09/11/2018,Mechanical and Electrical,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£8,268.00", 09/11/2018,Safety,Capital Housing Revenue Acc
MDP COMMUNICATION SERVICES,"£2,214.00", 09/11/2018,General Payments,Capital Housing Revenue Acc
WESSEX LIFT CO LTD,"£8,568.00", 09/11/2018,General Payments,Capital Housing Revenue Acc
GREENWOOD MOBILITY AND MAINTENANCE SERVICES LTD,"£4,422.00", 09/11/2018,General Payments,Capital Housing Revenue Acc
GRADIENT CONSULTANTS LIMITED,£792.00, 09/11/2018,Asbestos,Capital Housing Revenue Acc
UK GAS CONNECTION LIMITED,"£5,007.01", 09/11/2018,Heating,Capital Housing Revenue Acc
POINT 2 SURVEYORS LIMITED,"£42,000.00", 12/11/2018,Ext Site Surveys,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£32,211.74", 12/11/2018,Adaptations,Capital Housing Revenue Acc
SAFESITE LTD,"£122,683.38", 12/11/2018,Safety,Capital Housing Revenue Acc
HENNESSEY LTD,"£24,668.94", 12/11/2018,Refurbishment,Capital Housing Revenue Acc
RP SUPPLIES LIMITED T/A RAYMAC GROUP,"£2,027.10", 12/11/2018,General Payments,Capital Housing Revenue Acc
RP SUPPLIES LIMITED T/A RAYMAC GROUP,"£2,027.10", 12/11/2018,General Payments,Capital Housing Revenue Acc
ARCHITYPE LTD,"£19,400.40", 12/11/2018,Ext Architects Fees,Capital Housing Revenue Acc
BLOOM PROCUREMENT SERVICES LIMITED,"£4,207.14", 12/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
DARTFORD METALCRAFTS,£984.00, 13/11/2018,Safety,Capital Housing Revenue Acc
FRANKHAM CONSULTANCY GROUP LTD,"£3,415.20", 13/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
BLOOM PROCUREMENT SERVICES LIMITED,"£13,397.74", 13/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
BLOOM PROCUREMENT SERVICES LIMITED,"£1,803.06", 14/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
M G AXTON,"£7,795.20", 14/11/2018,Safety,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,"£10,107.00", 14/11/2018,Heating,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,-£360.00, 14/11/2018,Heating,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,£300.00, 14/11/2018,Heating,Capital Housing Revenue Acc
M G AXTON,"£3,360.00", 15/11/2018,Safety,Capital Housing Revenue Acc
M G AXTON,"£4,800.00", 15/11/2018,Safety,Capital Housing Revenue Acc
MARTIN ARNOLD LTD,"£1,512.00", 16/11/2018,Ext Consultants Fees,Capital Housing Revenue Acc
UK GAS CONNECTION LIMITED,"£1,326.28", 16/11/2018,Mechanical and Electrical,Capital Housing Revenue Acc
HENNESSEY LTD,"£34,546.52", 19/11/2018,Refurbishment,Capital Housing Revenue Acc
UK GAS CONNECTION LIMITED,£822.36, 16/11/2018,Mechanical and Electrical,Capital Housing Revenue Acc
R D FABRICATIONS,£780.00, 19/11/2018,Safety,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,£804.00, 19/11/2018,Safety,Capital Housing Revenue Acc
SCCI ALPHATRACK LTD,"£5,227.68", 20/11/2018,Safety,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£8,640.00", 21/11/2018,Safety,Capital Housing Revenue Acc
M G AXTON,£936.00, 21/11/2018,Safety,Capital Housing Revenue Acc
GLENNY LLP,"£18,000.00", 21/11/2018,Ext Architects Fees,Capital Housing Revenue Acc
RIDGE,"£12,000.00", 21/11/2018,General Payments,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£2,145.60", 22/11/2018,General Payments,Capital Housing Revenue Acc
ARCHITYPE LTD,"£19,400.40", 22/11/2018,Ext Architects Fees,Capital Housing Revenue Acc
ARCO PROFESSIONAL SAFETY SERVICES LIMITED,"£10,071.60", 22/11/2018,Safety,Capital Housing Revenue Acc
KVD CONSTRUCTION AND BUILDING MAINTENANCE LTD,"£7,701.30", 22/11/2018,Safety,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£2,781.60", 23/11/2018,General Payments,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"£1,872.00", 26/11/2018,Asbestos,Capital Housing Revenue Acc
M G AXTON,"£47,709.81", 26/11/2018,Refurbishment,Capital Housing Revenue Acc
GLENNY LLP,"£2,160.00", 27/11/2018,Ext Site Surveys,Capital Housing Revenue Acc
DARTFORD METALCRAFTS,"£2,460.00", 28/11/2018,Safety,Capital Housing Revenue Acc
GHYLLSIDE LIMITED,"£3,994.00", 28/11/2018,General Payments,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£7,344.00", 29/11/2018,Safety,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£131,706.65", 28/11/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£97,341.71", 28/11/2018,General Payments,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£81,550.51", 03/12/2018,Adaptations,Capital Housing Revenue Acc
MEARS LTD,"£104,286.73", 04/12/2018,Refurbishment,Capital Housing Revenue Acc
ARK BUILD PLC,"£72,311.15", 04/12/2018,Newbuild,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£190,213.75", 03/12/2018,Newbuild,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£126,511.50", 03/12/2018,Newbuild,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£60,285.54", 05/12/2018,Adaptations,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£14,178.48", 05/12/2018,Adaptations,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£5,770.98", 05/12/2018,Adaptations,Capital Housing Revenue Acc
CITY HEIGHTS(LONDON)LTD P WALKER A-F,"£31,269.74", 05/12/2018,Refurbishment,Capital Housing Revenue Acc
MITIE TECHNICAL FACILITIES MANAGEMENT,"£1,228.80", 05/12/2018,General Payments,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£138,121.32", 05/12/2018,Adaptations,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£4,723.20", 06/12/2018,General Payments,Capital Housing Revenue Acc
HENNESSEY LTD,"£1,926.94", 10/12/2018,Refurbishment,Capital Housing Revenue Acc
HENNESSEY LTD,"£20,483.26", 10/12/2018,Refurbishment,Capital Housing Revenue Acc
BLOOM PROCUREMENT SERVICES LIMITED,"£5,248.72", 10/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
KITSONS LLP,"£285,765.73", 10/12/2018,Buy Backs,Capital Housing Revenue Acc
KITSONS LLP,"£1,058.40", 10/12/2018,Buy Backs,Capital Housing Revenue Acc
MEATHOP HALL ESTATE LTD T/AS FARRER HUXLEY ASSOC,£58.33, 12/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
MEATHOP HALL ESTATE LTD T/AS FARRER HUXLEY ASSOC,"£16,787.27", 12/12/2018,Ext Architects Fees,Capital Housing Revenue Acc
MEATHOP HALL ESTATE LTD T/AS FARRER HUXLEY ASSOC,"£6,285.12", 12/12/2018,Ext Architects Fees,Capital Housing Revenue Acc
MEATHOP HALL ESTATE LTD T/AS FARRER HUXLEY ASSOC,"£73,344.00", 13/12/2018,Ext Architects Fees,Capital Housing Revenue Acc
CLIVE EDGHILL LIMITED,"£1,392.00", 13/12/2018,Safety,Capital Housing Revenue Acc
THAMES WATER UTILITIES LTD,"£8,796.00", 13/12/2018,Safety,Capital Housing Revenue Acc
BLOOM PROCUREMENT SERVICES LIMITED,"£6,298.46", 13/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
MARTIN ARNOLD LTD,"£1,080.00", 14/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
SAFESITE LTD,"£5,990.04", 14/12/2018,Water,Capital Housing Revenue Acc
NIBLOCK ( BUILDERS ) LTD,"£80,255.75", 14/12/2018,Refurbishment,Capital Housing Revenue Acc
TROWERS & HAMLINS LLP,"£5,472.41", 14/12/2018,Int Legal Fees,Capital Housing Revenue Acc
HOW SCAFFOLDING,"£2,010.00", 17/12/2018,Safety,Capital Housing Revenue Acc
FRANKHAM CONSULTANCY GROUP LTD,"£2,640.00", 18/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£8,542.97", 18/12/2018,Refurbishment,Capital Housing Revenue Acc
GREENWOOD MOBILITY AND MAINTENANCE SERVICES LTD,"£5,724.00", 18/12/2018,General Payments,Capital Housing Revenue Acc
STANNAH LIFT SERVICES LTD,"£3,279.60", 18/12/2018,General Payments,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£5,256.00", 18/12/2018,Safety,Capital Housing Revenue Acc
RE-GEN (UK) CONSTRUCTION LTD,"£23,047.80", 19/12/2018,Safety,Capital Housing Revenue Acc
RE-GEN (UK) CONSTRUCTION LTD,"£7,868.15", 19/12/2018,Safety,Capital Housing Revenue Acc
BLAKENEY LEIGH LIMITED,"£1,800.00", 19/12/2018,Ext Site Surveys,Capital Housing Revenue Acc
GREENWOOD MOBILITY AND MAINTENANCE SERVICES LTD,"£10,586.40", 19/12/2018,General Payments,Capital Housing Revenue Acc
ARCHITYPE LTD,"£9,700.80", 19/12/2018,Ext Architects Fees,Capital Housing Revenue Acc
MAYOR`S OFFICE FOR POLICING AND CRIME,"£32,843.00", 20/12/2018,Security,Capital Housing Revenue Acc
MAYOR`S OFFICE FOR POLICING AND CRIME,"£23,752.00", 20/12/2018,Security,Capital Housing Revenue Acc
LOANGUARD LIMITED T/A SE CONTROLS,"£3,679.20", 20/12/2018,Safety,Capital Housing Revenue Acc
NIBLOCK ( BUILDERS ) LTD,"£23,798.35", 21/12/2018,Refurbishment,Capital Housing Revenue Acc
M G AXTON,"£46,646.16", 21/12/2018,Refurbishment,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£192,266.70", 24/12/2018,Newbuild,Capital Housing Revenue Acc
ARK BUILD PLC,"£120,793.62", 24/12/2018,Newbuild,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£69,494.94", 19/12/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£83,024.26", 19/12/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£98,809.87", 19/12/2018,General Payments,Capital Housing Revenue Acc
MERIDIAN HOME START LIMITED,"£145,532.94", 19/12/2018,General Payments,Capital Housing Revenue Acc
PEABODY TRUST,"£184,094.00", 19/12/2018,General Payments,Capital Housing Revenue Acc
THOMAS SINDEN LIMITED,"£137,957.10", 24/12/2018,Newbuild,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£27,700.20", 24/12/2018,Adaptations,Capital Housing Revenue Acc
EFFECTABLE CONSTRUCTION SERVICES LTD,"£189,577.80", 24/12/2018,Adaptations,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£34,727.90", 24/12/2018,Adaptations,Capital Housing Revenue Acc
T BROWN GROUP LIMITED,"£28,425.82", 24/12/2018,Adaptations,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),£816.00, 24/12/2018,Asbestos,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),£828.00, 24/12/2018,Asbestos,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"£1,032.00", 24/12/2018,Asbestos,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£4,776.00", 27/12/2018,Safety,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£2,616.00", 27/12/2018,Safety,Capital Housing Revenue Acc
SEE MEDIA LTD,"£2,359.85", 24/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£139,678.38", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£95,470.31", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£86,523.96", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
SEE MEDIA LTD,£947.17, 27/12/2018,Ext Consultants Fees,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£334,113.96", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£280,674.62", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£286,714.92", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£948,072.95", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£480,504.78", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
ENGIE REGENERATION LTD,"£438,930.67", 20/12/2018,Refurbishment,Capital Housing Revenue Acc
SHARPE PRITCHARD LLP,"£718,560.00", 21/12/2018,Property Purchase Normal,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"£7,444.73", 28/12/2018,General Payments,Capital Housing Revenue Acc
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"£1,008.00", 28/12/2018,General Payments,Capital Housing Revenue Acc
KVD CONSTRUCTION AND BUILDING MAINTENANCE LTD,"£5,940.00", 28/12/2018,Safety,Capital Housing Revenue Acc
MDP COMMUNICATION SERVICES,£750.00, 28/12/2018,General Payments,Capital Housing Revenue Acc
HENNESSEY LTD,"£14,518.87", 27/12/2018,Refurbishment,Capital Housing Revenue Acc
THAMES WATER UTILITIES LTD,"£8,796.00", 28/12/2018,Safety,Capital Housing Revenue Acc
TRUSTMARQUE SOLUTIONS LTD,"£1,845.00", 13/12/2018,Services Private Contractor,Chief Executives
SHREEVE PROTECTION SERVICES LIMITED,"£2,067.00", 01/10/2018,Services Private Contractor,Chief Executives
CROSBY MANAGEMENT TRAINING LTD,"£1,200.00", 01/10/2018,Finance,Chief Executives
LOGICALIS UK LIMITED,"£31,912.00", 01/10/2018,Services Private Contractor,Chief Executives
EMMAUS GREENWICH,£357.60, 01/10/2018,ESS Care Grant Furniture,Chief Executives
EMMAUS GREENWICH,£240.00, 01/10/2018,ESS Care Grant Furniture,Chief Executives
COMPUTERSHARE VOUCHER SERVICES,"£1,052.77", 01/10/2018,Postal Machine Rental & Maintenance,Chief Executives
KIT J KEEN T/A KJWK CONSULTANCY,£720.00, 01/10/2018,Computer Software,Chief Executives
REED SPECIALIST RECRUITMENT LTD,£789.60, 01/10/2018,Shared Services - Short Courses,Chief Executives
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"£7,895.39", 01/10/2018,Document Archive,Chief Executives
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"£1,176.00", 01/10/2018,Document Archive,Chief Executives
RUNDLES & CO LTD,"£5,489.64", 01/10/2018,Student Award Payment,Chief Executives
RUNDLES & CO LTD,"-£4,574.70", 01/10/2018,Student Award Payment,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"£106,336.00", 04/10/2018,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"£106,336.10", 04/10/2018,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"£24,404.55", 04/10/2018,Service Charges,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"£24,404.54", 04/10/2018,Service Charges,Chief Executives
LONDON PENSION FUND AUTHORITY,"£17,075.72", 01/10/2018,LPFA,Chief Executives
INSIGHT DIRECT (UK) LIMITED,"£199,713.30", 01/10/2018,Services Private Contractor,Chief Executives
STONE COMPUTERS LTD,"£1,848.00", 01/10/2018,Computer Hardware,Chief Executives
TELEFONICA UK LTD,"£3,897.60", 01/10/2018,Mobile Phones,Chief Executives
THE FINANCIAL REPORTING COUNCIL,"£1,854.00", 01/10/2018,Professional Fees,Chief Executives
DUE NORTH LIMITED,"£14,400.00", 01/10/2018,Computer Software,Chief Executives
DUE NORTH LIMITED,"£14,400.00", 01/10/2018,Computer Software,Chief Executives
NORTHGATE PUBLIC SERVICES (UK) LTD,"£2,016.55", 01/10/2018,Services Private Contractor,Chief Executives
TELEFONICA UK LTD,"£11,781.84", 01/10/2018,Equipment,Chief Executives
CDW LIMITED,£744.74, 02/10/2018,Mobile Device Stock,Chief Executives
TCS COMPUTER SERVICES LTD,"£1,024.82", 02/10/2018,Services Private Contractor,Chief Executives
FIREBRAND TRAINING LIMITED,"£3,930.00", 01/10/2018,Training Expenses,Chief Executives
FIELD COURT CHAMBERS,£534.00, 01/10/2018,Professional Fees,Chief Executives
FIELD COURT CHAMBERS,"£1,020.00", 01/10/2018,Professional Fees,Chief Executives
CORNERSTONE BARRISTERS,"£1,200.00", 01/10/2018,Professional Fees,Chief Executives
LAMB CHAMBERS,"£1,700.00", 01/10/2018,Professional Fees,Chief Executives
TCS COMPUTER SERVICES LTD,"£3,600.00", 02/10/2018,Small Systems Budget,Chief Executives
LAMB CHAMBERS,"£1,200.00", 01/10/2018,Professional Fees,Chief Executives
THE 36 GROUP,£900.00, 01/10/2018,Professional Fees,Chief Executives
2 BEDFORD ROW,£900.00, 01/10/2018,Professional Fees,Chief Executives
E4 LAW LTD T/A LEXTOX,£532.34, 01/10/2018,Professional Fees,Chief Executives
BINDMANS LLP,"£1,296.00", 01/10/2018,Professional Fees,Chief Executives
EXPERT IN MIND LIMITED,£919.87, 01/10/2018,Professional Fees,Chief Executives
EXPERT IN MIND LIMITED,"£1,440.36", 01/10/2018,Professional Fees,Chief Executives
DR CHRISTOPHER J B McEVEDY,£631.80, 01/10/2018,Professional Fees,Chief Executives
FIELD COURT CHAMBERS,"£3,060.00", 01/10/2018,Professional Fees,Chief Executives
MLL TELECOM LTD,"£6,058.80", 02/10/2018,Services Private Contractor,Chief Executives
CBRE LTD,"£16,305.00", 02/10/2018,Rents Other,Chief Executives
CBRE LTD,"£2,133.30", 02/10/2018,Service Charges,Chief Executives
REHNA AZIM,£720.00, 02/10/2018,Professional Fees,Chief Executives
CELESTE IRVINE,"£1,710.00", 02/10/2018,Professional Fees,Chief Executives
REACH PUBLISHING SERVICES LIMITED,"£4,077.66", 02/10/2018,Printing External Contract,Chief Executives
REACH PUBLISHING SERVICES LIMITED,£378.95, 02/10/2018,Printing External Contract,Chief Executives
AMAZING PROMOTIONAL MERCHANDISE LTD,£518.40, 02/10/2018,Printing External Contract,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£1,943.68", 02/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£1,412.30", 02/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£1,615.33", 02/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£1,553.92", 02/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,£595.36, 04/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£2,265.74", 02/10/2018,Equipment Lease,Chief Executives
CANON (UK) LIMITED-PO BOX 244,"£1,412.30", 02/10/2018,Equipment Lease,Chief Executives
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£97.46, 02/10/2018,ESS Care Grant Furniture,Chief Executives
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£216.59, 02/10/2018,ESS Care Grant Electrical,Chief Executives
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,£45.60, 02/10/2018,ESS Care Grant Electrical,Chief Executives
