name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
REDACTED PERSONAL INFORMATION,"1,000.00", 01/10/2019,Landlord Incentive Payments,Housing Services
CHRYSALIS CARE (FOSTERING) LTD,"5,881.01", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"1,000.00", 01/10/2019,Landlord Incentive Payments,Housing Services
CHRYSALIS CARE (FOSTERING) LTD,"5,881.01", 01/10/2019,Agency Placements,Childrens Services
GREENWICH SERVICE PLUS LIMITED,"2,229.10", 01/10/2019,Vehicle Hire for GSP Only,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,400.00", 01/10/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,"16,071.30", 01/10/2019,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"3,547.80", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,750.00, 01/10/2019,Landlord Incentive Payments,Housing Services
CHRYSALIS CARE (FOSTERING) LTD,"3,774.25", 01/10/2019,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"5,270.93", 01/10/2019,Agency Placements,Childrens Services
ISP CENTRAL OFFICE,"5,562.90", 01/10/2019,Agency Placements,Childrens Services
ISP CENTRAL OFFICE,"5,562.90", 01/10/2019,Agency Placements,Childrens Services
ISP CENTRAL OFFICE,"5,229.00", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"7,122.50", 01/10/2019,Services Other Local Author,Childrens Services
ISP CENTRAL OFFICE,"5,229.00", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,920.00", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,600.00", 01/10/2019,Services Private Contractor,Health and Adult Services
CANON (UK) LIMITED-PO BOX 244,"1,114.67", 01/10/2019,Equipment,Chief Executives
ISP CENTRAL OFFICE,"5,562.90", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"7,262.50", 01/10/2019,Services Other Local Author,Childrens Services
ISP CENTRAL OFFICE,"5,229.00", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"6,737.50", 01/10/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"6,737.50", 01/10/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"1,500.00", 01/10/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,"4,050.00", 01/10/2019,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"1,440.00", 01/10/2019,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,500.00, 02/10/2019,In Home Domicilary and Agency Care,Childrens Services
REDACTED PERSONAL INFORMATION,"1,500.00", 01/10/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,"2,000.00", 01/10/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,"1,156.68", 01/10/2019,Other Services,Childrens Services
RUNDLES & CO LTD,"1,460.69", 01/10/2019,Student Award Payment,Chief Executives
REDACTED PERSONAL INFORMATION,"1,156.68", 01/10/2019,Other Services,Childrens Services
GREENWICH SERVICE PLUS LIMITED,"3,387.20", 01/10/2019,FM Services External Contract,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,"1,245.06", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,630.60", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"5,446.20", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,630.60", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,630.60", 01/10/2019,Agency Placements,Childrens Services
CASTLE WATER LIMITED,631.44, 01/10/2019,Water,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,"10,892.70", 01/10/2019,Agency Placements,Childrens Services
GREENWICH SERVICE PLUS LIMITED,"1,138.49", 01/10/2019,Services Other Local Author,Chief Executives
REDACTED PERSONAL INFORMATION,"15,000.00", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,841.41", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"1,054.80", 01/10/2019,Document Archive,Chief Executives
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,841.41", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"4,010.36", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,841.41", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
HYTHE HOUSE SUPPORT LIMITED,"4,010.36", 01/10/2019,Agency Placements,Childrens Services
"CHANGE, GROW, LIVE","22,323.93", 01/10/2019,Block Contracts,Health and Adult Services
HYTHE HOUSE SUPPORT LIMITED,"3,754.58", 01/10/2019,Agency Placements,Childrens Services
BRIDGE 86 LIMITED,"50,000.00", 01/10/2019,Other Agency Services,Health and Adult Services
HYTHE HOUSE SUPPORT LIMITED,"3,841.41", 01/10/2019,Agency Placements,Childrens Services
GREENWICH HEALTH LIMITED,"92,789.00", 01/10/2019,Services by External Providers,Health and Adult Services
"CHANGE, GROW, LIVE","44,333.33", 01/10/2019,Cri Aspire,Health and Adult Services
BEST VALUE HOME CARE SERVICES UK LTD,512.00, 01/10/2019,Private Home Help Domest Misc,Health and Adult Services
BEST VALUE HOME CARE SERVICES UK LTD,512.00, 01/10/2019,Private Home Help Domest Misc,Health and Adult Services
BEST VALUE HOME CARE SERVICES UK LTD,512.00, 01/10/2019,Private Home Help Domest Misc,Health and Adult Services
BEST VALUE HOME CARE SERVICES UK LTD,531.50, 01/10/2019,Private Home Help Domest Misc,Health and Adult Services
BEST VALUE HOME CARE SERVICES UK LTD,560.00, 01/10/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,722.40", 02/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,722.40", 02/10/2019,Services by External Providers,Childrens Services
LEIGH ACADEMIES TRUST T/AS THE HALLEY ACADEMY,"7,200.00", 02/10/2019,Grants To Voluntary Organ,Health and Adult Services
CASTLE WATER LIMITED,688.50, 02/10/2019,Water,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,800.00, 02/10/2019,In Home Domicilary and Agency Care,Childrens Services
PLUMSTEAD COMMON PRE SCHOOL,"1,872.00", 02/10/2019,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,759.90, 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"2,255.17", 02/10/2019,Short Term Residential,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,368.09", 02/10/2019,Short Term Residential,Health and Adult Services
VOYAGE 1 LTD,"4,389.60", 02/10/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,750.00", 02/10/2019,Other Agency Services,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,600.91", 02/10/2019,Section 17,Childrens Services
REDACTED PERSONAL INFORMATION,"7,245.00", 01/10/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"3,150.00", 01/10/2019,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"2,250.00", 01/10/2019,Services by External Providers,Childrens Services
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,661.08, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,888.51, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,960.16, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
GREENWICH LEISURE LIMITED,"389,634.88", 02/10/2019,Services Private Contractor,Comm Safety and Environment
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,554.21, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,529.50, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,663.64, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
GREENWICH SERVICE PLUS LIMITED,"4,435.81", 02/10/2019,Equipment Repair,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,"2,052.00", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"2,482.92", 02/10/2019,Agency Placements,Childrens Services
EDGE HILL CARE HOME,"3,800.00", 02/10/2019,Services Private Contractor,Health and Adult Services
THE OLIVE SERVICES LTD,"4,096.43", 02/10/2019,Services Private Contractor,Health and Adult Services
THE OLIVE SERVICES LTD,"4,096.43", 02/10/2019,Services Private Contractor,Health and Adult Services
EDGE HILL CARE HOME,"3,600.00", 02/10/2019,Services Private Contractor,Health and Adult Services
SOUTHERN ELECTRIC GAS LIMITED T/AS SSE,138.41, 02/10/2019,Electricity,Housing Services HRA
SOUTHERN ELECTRIC GAS LIMITED T/AS SSE,375.36, 02/10/2019,Electricity,Housing Services HRA
EDGE HILL CARE HOME,"3,400.00", 02/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,309.44", 02/10/2019,Supported Living,Health and Adult Services
LINDFIELD ELECTRICAL SERVICES LTD,"74,390.70", 02/10/2019,Refurbishment,Planned Maintenance
SER PROPERTIES LTD,"38,922.50", 02/10/2019,Rents Other,Housing Services
CORNERSTONE BARRISTERS,"2,550.00", 02/10/2019,Legal Fees,Comm Safety and Environment
LAMB CHAMBERS,780.00, 02/10/2019,Eltham Legal Disbursements,Housing Services HRA
BEVAN BRITTAN LLP - CLIENT ACCOUNT RBG,"10,004.76", 02/10/2019,Professional Fees,Chief Executives
ROYAL MAIL GROUP LTD,75.06, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,464.27, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,59.94, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,35.64, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,76.99, 02/10/2019,Postage - Royal Mail,Eltham Crematorium Revenue
ROYAL MAIL GROUP LTD,76.49, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,354.26, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,3.17, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,11.08, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,26.11, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,28.22, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,19.44, 02/10/2019,Postage - Royal Mail,Chief Executives
SANCTUARY CARE LTD,"4,285.71", 02/10/2019,Services Private Contractor,Health and Adult Services
SANCTUARY CARE LTD,"2,084.23", 02/10/2019,Services Private Contractor,Health and Adult Services
ROYAL MAIL GROUP LTD,31.44, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,98.21, 02/10/2019,Printing,Chief Executives
ROYAL MAIL GROUP LTD,"2,299.14", 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,752.84, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,71.36, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,272.74, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,"1,090.92", 02/10/2019,Postage - Royal Mail,Chief Executives
REDACTED PERSONAL INFORMATION,"8,414.33", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"29,582.77", 02/10/2019,Agency Placements,Childrens Services
KEITH MCKINSTRIE,"2,263.00", 02/10/2019,Legal Fees,Health and Adult Services
PHILLIP CHARLES MAGGS,"3,276.00", 02/10/2019,Professional Fees,Chief Executives
GRAEME JONES T/A DESIGN PROMISE,"1,800.00", 02/10/2019,Other Services,Chief Executives
GRAEME JONES T/A DESIGN PROMISE,"2,480.00", 02/10/2019,Other Services,Chief Executives
DAVID MADDEN PHOTOGRAPHY,140.00, 02/10/2019,MIsc,Housing Services HRA
DAVID MADDEN PHOTOGRAPHY,140.00, 02/10/2019,Photography,Chief Executives
DAVID MADDEN PHOTOGRAPHY,260.00, 02/10/2019,Sports Ambassador Training Programme,Comm Safety and Environment
DAVID MADDEN PHOTOGRAPHY,260.00, 02/10/2019,Courier Service,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,996.48, 02/10/2019,Supply/Sessional Normal TIme,Childrens Services
REDACTED PERSONAL INFORMATION,"1,217.70", 02/10/2019,Supply/Sessional Normal TIme,Childrens Services
REDACTED PERSONAL INFORMATION,996.48, 02/10/2019,Supply/Sessional Normal TIme,Childrens Services
REDACTED PERSONAL INFORMATION,"21,964.74", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"28,785.67", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"14,251.60", 01/10/2019,Agency Placements,Childrens Services
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"106,336.05", 02/10/2019,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"106,336.05", 02/10/2019,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"25,285.99", 02/10/2019,Service Charges,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"25,285.99", 02/10/2019,Service Charges,Chief Executives
REDACTED PERSONAL INFORMATION,996.48, 02/10/2019,Supply/Sessional Normal TIme,Childrens Services
SHARON O`SHEA,996.49, 02/10/2019,Supply/Sessional Normal TIme,Childrens Services
ROYAL MAIL GROUP LTD,172.95, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,2.20, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,"1,130.56", 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,9.00, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,2.20, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,25.50, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,4.88, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,9.48, 02/10/2019,Postage - Royal Mail,Eltham Crematorium Revenue
ROYAL MAIL GROUP LTD,79.52, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,24.40, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,7.95, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,875.93, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,31.55, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,786.91, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,1.50, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,8.84, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,232.93, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,284.87, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,37.91, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,10.98, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,142.60, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,336.05, 02/10/2019,Postage - Royal Mail,Chief Executives
REDACTED PERSONAL INFORMATION,"21,965.67", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"5,314.33", 02/10/2019,Agency Placements,Childrens Services
ELEANOR NURSING AND SOCIAL CARE LTD,504.92, 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
W J KING LIMITED,"1,908.11", 07/10/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
W J KING LIMITED,-49.15, 07/10/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
W J KING LIMITED,40.96, 07/10/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,"22,851.34", 02/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,600.00, 02/10/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"2,246.40", 02/10/2019,Private Home Help Domest Misc,Health and Adult Services
THE ADOLESCENT & CHILDRENS TRUST,"3,019.77", 02/10/2019,Agency Placements,Childrens Services
THE ADOLESCENT & CHILDRENS TRUST,"3,440.07", 02/10/2019,Agency Placements,Childrens Services
ROYAL MAIL GROUP LTD,170.54, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,939.03, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,6.00, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,8.10, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,17.14, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,6.50, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,25.50, 02/10/2019,Postage - Royal Mail,Eltham Crematorium Revenue
ROYAL MAIL GROUP LTD,249.88, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,3.25, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,17.75, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,790.20, 02/10/2019,Postage - Royal Mail,Housing Services HRA
ROYAL MAIL GROUP LTD,66.88, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,838.33, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,8.80, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,273.05, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,"1,102.16", 02/10/2019,Miscellaneous,Housing Services HRA
ROYAL MAIL GROUP LTD,96.25, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,1.50, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,103.25, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,411.32, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,126.94, 02/10/2019,Postage - Royal Mail,Childrens Services
ROYAL MAIL GROUP LTD,243.73, 02/10/2019,Postage - Royal Mail,Childrens Services
THE ADOLESCENT & CHILDRENS TRUST,"5,159.95", 02/10/2019,Agency Placements,Childrens Services
THE ADOLESCENT & CHILDRENS TRUST,"5,159.95", 02/10/2019,Agency Placements,Childrens Services
THE ADOLESCENT & CHILDRENS TRUST,"3,268.02", 02/10/2019,Agency Placements,Childrens Services
THE ADOLESCENT & CHILDRENS TRUST,"6,879.83", 02/10/2019,Agency Placements,Childrens Services
ROYAL MAIL GROUP LTD,29.16, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,28.07, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,112.30, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,33.20, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,392.14, 02/10/2019,MIsc,Housing Services HRA
ROYAL MAIL GROUP LTD,"2,262.05", 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,786.76, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,8.12, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,165.90, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,663.60, 02/10/2019,Postage - Royal Mail,Chief Executives
REDACTED PERSONAL INFORMATION,"2,790.00", 02/10/2019,Agency Placements,Childrens Services
ROYAL MAIL GROUP LTD,70.20, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,262.42, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,37.94, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,131.42, 02/10/2019,Printing,Housing Services HRA
ROYAL MAIL GROUP LTD,"3,930.17", 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,353.63, 02/10/2019,Postage - Royal Mail,Chief Executives
ROYAL MAIL GROUP LTD,234.94, 02/10/2019,Postage - Royal Mail,Regeneration Enterprise and Sk
ROYAL MAIL GROUP LTD,3.53, 02/10/2019,Postage - Royal Mail,Chief Executives
