name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
JBW GROUP LIMITED,"6,032.86", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
JBW GROUP LIMITED,"-5,027.38", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
MARSTON GROUP LIMITED,"14,660.28", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
MARSTON GROUP LIMITED,"-12,216.90", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,"1,350.00", 02/01/2019,Services by External Providers,Childrens Services
WING PARKING LTD,"21,312.41", 02/01/2019,Parking Improvements,Housing Services HRA
WING PARKING LTD,"-17,760.34", 02/01/2019,Ext Inc Other Recover Charges,Housing Services HRA
GREENWICH SERVICE PLUS LIMITED,"658,327.64", 02/01/2019,External Payments,Corporate
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"2,797.28", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"18,469.17", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"17,876.67", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"41,084.42", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"2,429.30", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,453.15, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,"2,864.82", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,"13,762.50", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,"19,564.60", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,272.94, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,402.80, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
ENDEAVOUR PARTNERSHIP TRUST T/AS,"74,222.71", 02/01/2019,Tfr to Academies - Growth Fund,Childrens Services
MARITIME ACADEMY TRUST,904.76, 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,"5,940.83", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,"34,702.50", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,"32,515.47", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,"1,153.60", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,503.50, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
LEIGH ACADEMIES TRUST T/AS THE HALLEY ACADEMY,"6,336.40", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
LEIGH ACADEMIES TRUST T/AS THE HALLEY ACADEMY,"13,277.17", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
LEIGH ACADEMIES TRUST T/AS THE HALLEY ACADEMY,"30,027.44", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
LEIGH ACADEMIES TRUST T/AS THE HALLEY ACADEMY,"36,417.93", 02/01/2019,Tfr to Academies - Growth Fund,Childrens Services
GREENWICH DANCE AGENCY,"30,000.00", 02/01/2019,Grants To Voluntary Organ,Chief Executives
EMERGENCY EXIT ARTS,"7,500.00", 02/01/2019,Grants To Voluntary Organ,Chief Executives
GREENWICH & LEWISHAM YOUNG PEOPLES THEATRE,"16,250.00", 02/01/2019,Grants To Voluntary Organ,Chief Executives
REDACTED PERSONAL INFORMATION,"2,000.00", 02/01/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,518.11, 02/01/2019,Rent in Advance,Housing Services
MARITIME ACADEMY TRUST,"1,391.12", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,"7,087.00", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
MARITIME ACADEMY TRUST,"18,283.81", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,286.70, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
MARITIME ACADEMY TRUST,"6,500.00", 02/01/2019,Tfr to Academies - Growth Fund,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,737.91, 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"11,402.50", 02/01/2019,Tfr to Academies - DSG High Needs Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"14,901.86", 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,-152.47, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,100.70, 02/01/2019,Tfr to Academies - DSG Early Years Block,Childrens Services
INSPIRE PARTNERSHIP ACADEMY TRUST T/AS,"6,500.00", 02/01/2019,Tfr to Academies - Growth Fund,Childrens Services
GBOLABO FADAHUNSI,"31,246.50", 02/01/2019,Refurbishment,NS General Fund
GBOLABO FADAHUNSI,-3.00, 02/01/2019,Stationery,Housing Services HRA
LONDON BOROUGH OF MERTON,"2,700.00", 02/01/2019,Vehicle Hire External Hired,Childrens Services
FIELDWHITE SERVICES,"-1,246.23", 02/01/2019,Ext Inc Other Recover Charges,Housing Services HRA
FIELDWHITE SERVICES,-3.00, 02/01/2019,Stationery,Housing Services HRA
FIELDWHITE SERVICES,"2,421.50", 02/01/2019,General Payments,NS General Fund
FIELDWHITE SERVICES,"5,580.25", 02/01/2019,General Payments,NS General Fund
CASTLE WATER LIMITED,566.86, 02/01/2019,Water,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,"3,106.85", 02/01/2019,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,567.13", 02/01/2019,Private Sector Nursing Homes,Health and Adult Services
REDACTED PERSONAL INFORMATION,975.00, 02/01/2019,In Home Domicilary and Agency Care,Childrens Services
REDACTED PERSONAL INFORMATION,"4,628.57", 02/01/2019,LC Staying Put,Childrens Services
REDACTED PERSONAL INFORMATION,"1,980.00", 02/01/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"5,859.00", 02/01/2019,Secure Accommodation,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"4,410.00", 02/01/2019,Agency Placements,Childrens Services
ANGELS ABODE LIMITED,"1,740.00", 02/01/2019,Rents Other,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,024.20", 02/01/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"1,963.05", 02/01/2019,Agency Placements,Childrens Services
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"3,298.40", 29/01/2019,Agency Placements,Childrens Services
HEATH FARM FAM SERVS LTD T/A HEATH FARM FOSTERING,"3,298.40", 29/01/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,434.00", 02/01/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"5,656.00", 02/01/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,090.08", 02/01/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,877.44", 02/01/2019,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,121.00", 02/01/2019,Client Support,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,820.00", 02/01/2019,Agency Placements,Childrens Services
EDGE HILL CARE HOME,"3,800.00", 02/01/2019,Services Private Contractor,Health and Adult Services
EDGE HILL CARE HOME,"3,600.00", 02/01/2019,Services Private Contractor,Health and Adult Services
EDGE HILL CARE HOME,"3,400.00", 02/01/2019,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,915.75, 02/01/2019,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,686.40, 02/01/2019,Services Voluntary Org,Childrens Services
REDACTED PERSONAL INFORMATION,"1,030.40", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-148.04, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"10,483.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,377.60", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,800.00, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,129.40", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-928.32, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,482.40", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-273.00, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,626.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,661.52, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-8.00, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,333.60", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-274.08, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,344.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-25.64, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,909.56, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,328.08", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-281.56, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,982.80, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"6,096.16", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-190.36, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,596.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,849.96, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,400.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,941.72, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,942.72", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"9,360.96", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,840.00, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-34.16, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,229.96", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-34.16, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,840.08", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-374.04, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,662.52, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,088.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,138.80", 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,217.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-175.12, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,365.44", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"12,971.08", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"6,506.40", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,411.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-80.64, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,948.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-328.36, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"9,129.44", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,837.40, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,341.82", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,501.43, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,187.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,568.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,800.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,276.80", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,241.76", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-286.40, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,701.32", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"6,828.84", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,615.48, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"31,107.35", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,157.16", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,808.08, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,610.28", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-273.04, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,528.04", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,130.48", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-95.36, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,898.92, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,581.52, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,982.80, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-25.60, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,038.68", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-13.52, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,724.32, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,272.44", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-186.48, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"13,928.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,810.48, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,885.24, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-24.00, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,030.40", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,821.36", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-129.92, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"12,656.71", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,123.20", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,655.44", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,768.12, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-34.16, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,097.76", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,686.96, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-21.80, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,648.52", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-34.16, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,433.92", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,056.04", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"7,159.64", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-70.36, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,502.44, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,600.00, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,380.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-293.20, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,891.44", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,568.00", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-435.56, 02/01/2019,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,508.80", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,209.60", 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,697.60, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,982.80, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,970.80, 02/01/2019,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,918.40, 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"2,393.32", 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"2,884.20", 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,537.60, 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,609.00, 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,800.00, 02/01/2019,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"1,086.24", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,617.20", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,582.40, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,533.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"4,385.60", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,772.40, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,945.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"3,329.97", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,517.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,725.24", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,438.25", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,195.56", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,792.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,577.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,962.40, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,561.84", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,282.96", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,620.56, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,962.40, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,744.40, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,707.30, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,260.00", 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,505.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,501.20, 02/01/2019,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"1,393.52", 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,500.78, 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,834.80, 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"1,098.44", 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,955.79, 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,727.12, 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"1,077.28", 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"1,222.44", 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,500.78, 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"1,505.48", 02/01/2019,Residence Orders - Section 8 Payments,Childrens Services
